,Title,Price,Rooms,Area,Floor,Building Floors,Condition,Material,Address,Lift,Security,Internet,Playground,Sauna,Sewerage,Fridge,Telephone Line,Separate Bathrooms,Surveillance,Pool,Water,Microwave,Parking,AC,TV,Washing Machine,Cable TV,Furniture,Gas
880,2-комнатная квартира на продажу,61 500 у.е.,2,50 м²,1,4,Евроремонт,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Ахмад Дониш",0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
881,2-комнатная квартира на продажу,65 243.09 у.е.,2,53.12 м²,10,11,Черновая отделка,Монолитный,"город Ташкент, Мирабадский район, махаллинский сход граждан Инокобод, улица Хамал",1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1
882,2-комнатная квартира на продажу,82 000 у.е.,2,56 м²,10,10,Авторский проект,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Бегубор",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
883,3-комнатная квартира на продажу,79 500 у.е.,3,78 м²,4,5,Евроремонт,Панельный,"город Ташкент, Юнусабадский район, 10-й квартал",0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1
884,4-комнатная квартира на продажу,119 000 у.е.,4,101 м²,8,8,Авторский проект,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Бегубор",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
885,2-комнатная квартира на продажу,54 500 у.е.,2,50 м²,2,4,Требует ремонта,Панельный,"город Ташкент, Юнусабадский район, 7-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,3-комнатная квартира на продажу,82 000 у.е.,3,60 м²,4,5,Авторский проект,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Лутфий, площадь Актепа",0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1
887,1-комнатная квартира на продажу,49 607.84 у.е.,1,40.39 м²,10,11,Черновая отделка,Монолитный,"город Ташкент, Мирабадский район, махаллинский сход граждан Инокобод, улица Хамал",1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1
888,1-комнатная квартира на продажу,36 000 у.е.,1,33.23 м²,2,3,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,2-комнатная квартира на продажу,46 000 у.е.,2,46.67 м²,1,3,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,2-комнатная квартира на продажу,82 000 у.е.,2,72 м²,2,3,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Гузал, улица Гузаль",0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1
891,2-комнатная квартира на продажу,60 500 у.е.,2,45 м²,5,5,Авторский проект,Панельный,"город Ташкент, Чиланзарский район, квартал Ц, улица Мехр",0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1
892,2-комнатная квартира на продажу,77 500 у.е.,2,52 м²,4,5,Евроремонт,Кирпичный,"город Ташкент, Учтепинский район, махаллинский сход граждан Кухна-Чапаната",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893,4-комнатная квартира на продажу,80 000 у.е.,4,95 м²,5,9,Евроремонт,Панельный,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1
894,3-комнатная квартира на продажу,215 000 у.е.,3,152 м²,3,9,Евроремонт,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Айбека",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,3-комнатная квартира на продажу,72 000 у.е.,3,64 м²,1,3,Евроремонт,Панельный,"город Ташкент, Учтепинский район, 13-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,4-комнатная квартира на продажу,175 000 у.е.,4,126 м²,5,6,Черновая отделка,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Лашкарбеги, улица Кары-Ниязи",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,3-комнатная квартира на продажу,85 000 у.е.,3,90 м²,3,5,Требует ремонта,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Бегубор",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,4-комнатная квартира на продажу,100 000 у.е.,4,105 м²,10,10,Требует ремонта,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Машинасозлар, улица Махтумкули",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,1-комнатная квартира на продажу,42 000 у.е.,1,42 м²,9,12,Черновая отделка,Блочный,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
900,4-комнатная квартира на продажу,170 000 у.е.,4,136 м²,6,8,Авторский проект,Кирпичный,"город Ташкент, Алмазарский район, махаллинский сход граждан Ачабад, 30-й тупик Сагбан",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,3-комнатная квартира на продажу,310 000 у.е.,3,86 м²,4,11,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, жилой комплекс Mirabad Avenue, 2-й проезд Катта Миробод",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,3-комнатная квартира на продажу,128 000 у.е.,3,83 м²,3,10,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Мингурик",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,3-комнатная квартира на продажу,108 000 у.е.,3,60 м²,6,10,Евроремонт,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Машинасозлар, улица Махтумкули",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,3-комнатная квартира на продажу,135 000 у.е.,3,72 м²,2,9,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Олтинтепа, улица Хирмонтепа",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,2-комнатная квартира на продажу,71 900 у.е.,2,45 м²,2,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Ак-Тепа",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,1-комнатная квартира на продажу,42 508.72 у.е.,1,34.61 м²,3,11,Черновая отделка,Монолитный,"город Ташкент, Мирабадский район, махаллинский сход граждан Инокобод, улица Хамал",1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1
907,4-комнатная квартира на продажу,85 000 у.е.,4,78 м²,2,4,Средний,Кирпичный,"город Ташкент, Учтепинский район, махаллинский сход граждан Ватан",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
